<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;06.09.2018;17:04:00;105250;105250;105230;105230;7
SPFB.RTS-12.18;1;06.09.2018;17:05:00;105320;105420;105320;105420;5
SPFB.RTS-12.18;1;06.09.2018;17:06:00;105450;105450;105420;105420;2
SPFB.RTS-12.18;1;06.09.2018;17:07:00;105390;105390;105390;105390;18
SPFB.RTS-12.18;1;06.09.2018;17:09:00;105350;105350;105350;105350;1
SPFB.RTS-12.18;1;06.09.2018;17:10:00;105350;105380;105350;105380;5
SPFB.RTS-12.18;1;06.09.2018;17:11:00;105350;105380;105350;105370;6
SPFB.RTS-12.18;1;06.09.2018;17:12:00;105330;105330;105330;105330;1
SPFB.RTS-12.18;1;06.09.2018;17:13:00;105310;105310;105280;105280;2
SPFB.RTS-12.18;1;06.09.2018;17:14:00;105280;105280;105230;105230;42
SPFB.RTS-12.18;1;06.09.2018;17:15:00;105200;105200;105200;105200;1
SPFB.RTS-12.18;1;06.09.2018;17:16:00;105190;105190;105190;105190;2
SPFB.RTS-12.18;1;06.09.2018;17:19:00;105180;105180;105180;105180;80
SPFB.RTS-12.18;1;06.09.2018;17:20:00;105180;105180;105180;105180;9
SPFB.RTS-12.18;1;06.09.2018;17:21:00;105230;105230;105150;105150;18
SPFB.RTS-12.18;1;06.09.2018;17:23:00;105140;105140;105110;105110;7
SPFB.RTS-12.18;1;06.09.2018;17:24:00;105060;105090;105040;105090;5
SPFB.RTS-12.18;1;06.09.2018;17:26:00;105080;105080;105080;105080;1
SPFB.RTS-12.18;1;06.09.2018;17:27:00;105100;105100;105100;105100;2
SPFB.RTS-12.18;1;06.09.2018;17:28:00;105070;105070;105050;105050;2
SPFB.RTS-12.18;1;06.09.2018;17:29:00;105050;105050;105020;105020;18
SPFB.RTS-12.18;1;06.09.2018;17:30:00;105010;105010;104970;104970;40
SPFB.RTS-12.18;1;06.09.2018;17:31:00;104970;105070;104970;105070;10
SPFB.RTS-12.18;1;06.09.2018;17:33:00;105040;105040;105040;105040;1
SPFB.RTS-12.18;1;06.09.2018;17:34:00;105040;105040;105040;105040;5
SPFB.RTS-12.18;1;06.09.2018;17:36:00;105010;105010;105010;105010;1
SPFB.RTS-12.18;1;06.09.2018;17:38:00;105070;105070;105070;105070;15
SPFB.RTS-12.18;1;06.09.2018;17:40:00;105090;105090;105090;105090;3
SPFB.RTS-12.18;1;06.09.2018;17:44:00;105080;105080;105080;105080;1
SPFB.RTS-12.18;1;06.09.2018;17:50:00;104940;104940;104940;104940;2
SPFB.RTS-12.18;1;06.09.2018;17:54:00;104950;104950;104900;104930;64
SPFB.RTS-12.18;1;06.09.2018;17:55:00;104950;104950;104950;104950;1
SPFB.RTS-12.18;1;06.09.2018;17:56:00;104880;104880;104870;104870;62
SPFB.RTS-12.18;1;06.09.2018;17:57:00;104940;104940;104940;104940;1
SPFB.RTS-12.18;1;06.09.2018;17:58:00;104980;104980;104980;104980;7
SPFB.RTS-12.18;1;06.09.2018;17:59:00;105000;105000;104970;104970;46
SPFB.RTS-12.18;1;06.09.2018;18:00:00;104940;104940;104870;104870;18
SPFB.RTS-12.18;1;06.09.2018;18:01:00;104890;104890;104870;104890;37
SPFB.RTS-12.18;1;06.09.2018;18:02:00;104900;104900;104860;104860;25
SPFB.RTS-12.18;1;06.09.2018;18:03:00;104830;104830;104800;104830;8
SPFB.RTS-12.18;1;06.09.2018;18:04:00;104850;104850;104850;104850;1
SPFB.RTS-12.18;1;06.09.2018;18:05:00;104860;104860;104760;104840;12
SPFB.RTS-12.18;1;06.09.2018;18:06:00;104760;104760;104640;104640;12
SPFB.RTS-12.18;1;06.09.2018;18:07:00;104600;104660;104570;104660;71
SPFB.RTS-12.18;1;06.09.2018;18:08:00;104600;104600;104540;104600;17
SPFB.RTS-12.18;1;06.09.2018;18:09:00;104540;104600;104510;104600;34
SPFB.RTS-12.18;1;06.09.2018;18:11:00;104510;104510;104500;104500;15
SPFB.RTS-12.18;1;06.09.2018;18:12:00;104530;104530;104530;104530;25
SPFB.RTS-12.18;1;06.09.2018;18:13:00;104550;104610;104550;104610;3
SPFB.RTS-12.18;1;06.09.2018;18:14:00;104620;104680;104620;104680;4
SPFB.RTS-12.18;1;06.09.2018;18:15:00;104680;104680;104550;104550;8
SPFB.RTS-12.18;1;06.09.2018;18:16:00;104470;104490;104380;104420;65
SPFB.RTS-12.18;1;06.09.2018;18:17:00;104390;104390;104260;104290;67
SPFB.RTS-12.18;1;06.09.2018;18:18:00;104330;104350;104260;104260;12
SPFB.RTS-12.18;1;06.09.2018;18:19:00;104210;104210;104160;104160;15
SPFB.RTS-12.18;1;06.09.2018;18:20:00;104140;104290;104120;104290;20
SPFB.RTS-12.18;1;06.09.2018;18:21:00;104350;104410;104350;104410;19
